"task_id","pair_id","input_shape","output_shape","input_colors","output_colors","recoloration","rotation_90","rotation_180","rotation_270","flip_horizontal","flip_vertical","transpose","repetition","padding","translation","tiled_subgrid","partial_symetry","pattern_checkerboard","pattern_horizontal_stripes","pattern_vertical_stripes","pattern_uniform_blocks","shape_based_recoloration"
"00576224",0,"[2, 2]","[6, 6]","[3, 4, 7, 9]","[3, 4, 7, 9]",False,False,False,False,False,False,False,False,True,True,False,"",False,True,True,False,False
"00576224",1,"[2, 2]","[6, 6]","[4, 6, 8]","[4, 6, 8]",False,False,False,False,False,False,False,False,True,True,False,"",False,True,True,False,False
"007bbfb7",0,"[3, 3]","[9, 9]","[0, 6]","[0, 6]",False,False,False,False,False,False,False,False,True,True,False,"",False,False,False,False,False
"007bbfb7",1,"[3, 3]","[9, 9]","[0, 4]","[0, 4]",False,False,False,False,False,False,False,False,True,True,False,"",False,False,False,False,False
"007bbfb7",2,"[3, 3]","[9, 9]","[0, 2]","[0, 2]",False,False,False,False,False,False,False,False,True,True,False,"",False,False,False,False,False
"007bbfb7",3,"[3, 3]","[9, 9]","[0, 2]","[0, 2]",False,False,False,False,False,False,False,False,True,True,False,"",False,False,True,False,False
"007bbfb7",4,"[3, 3]","[9, 9]","[0, 7]","[0, 7]",False,False,False,False,False,False,False,False,True,True,False,"",False,False,True,False,False
"009d5c81",0,"[14, 14]","[14, 14]","[0, 1, 8]","[0, 7]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"009d5c81",1,"[14, 14]","[14, 14]","[0, 1, 8]","[0, 3]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"009d5c81",2,"[14, 14]","[14, 14]","[0, 1, 8]","[0, 2]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"009d5c81",3,"[14, 14]","[14, 14]","[0, 1, 8]","[0, 3]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"009d5c81",4,"[14, 14]","[14, 14]","[0, 1, 8]","[0, 2]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"00d62c1b",0,"[10, 10]","[10, 10]","[0, 3]","[0, 3, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"00d62c1b",1,"[10, 10]","[10, 10]","[0, 3]","[0, 3, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"00d62c1b",2,"[10, 10]","[10, 10]","[0, 3]","[0, 3, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"00d62c1b",3,"[20, 20]","[20, 20]","[0, 3]","[0, 3, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"00d62c1b",4,"[6, 6]","[6, 6]","[0, 3]","[0, 3, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"00dbd492",0,"[15, 15]","[15, 15]","[0, 2]","[0, 2, 3, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"00dbd492",1,"[9, 9]","[9, 9]","[0, 2]","[0, 2, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"00dbd492",2,"[13, 13]","[13, 13]","[0, 2]","[0, 2, 4, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"00dbd492",3,"[7, 7]","[7, 7]","[0, 2]","[0, 2, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"017c7c7b",0,"[6, 3]","[9, 3]","[0, 1]","[0, 2]",True,False,False,False,False,False,False,False,False,False,False,"",True,False,False,False,False
"017c7c7b",1,"[6, 3]","[9, 3]","[0, 1]","[0, 2]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"017c7c7b",2,"[6, 3]","[9, 3]","[0, 1]","[0, 2]",True,False,False,False,False,False,False,False,False,False,False,"horizontal_half",False,False,False,False,False
"025d127b",0,"[8, 9]","[8, 9]","[0, 8]","[0, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"025d127b",1,"[14, 9]","[14, 9]","[0, 2, 6]","[0, 2, 6]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"03560426",0,"[10, 10]","[10, 10]","[0, 2, 7, 8]","[0, 2, 7, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,True,False,False,True
"03560426",1,"[10, 10]","[10, 10]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"03560426",2,"[10, 10]","[10, 10]","[0, 2, 3, 4]","[0, 2, 3, 4]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"045e512c",0,"[21, 21]","[21, 21]","[0, 1, 2, 4]","[0, 1, 2, 4]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"045e512c",1,"[21, 21]","[21, 21]","[0, 2, 3, 8]","[0, 2, 3, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"045e512c",2,"[21, 21]","[21, 21]","[0, 1, 5, 6]","[0, 1, 5, 6]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0520fde7",0,"[3, 7]","[3, 3]","[0, 1, 5]","[0, 2]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0520fde7",1,"[3, 7]","[3, 3]","[0, 1, 5]","[0, 2]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0520fde7",2,"[3, 7]","[3, 3]","[0, 1, 5]","[0, 2]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"05269061",0,"[7, 7]","[7, 7]","[0, 1, 2, 4]","[1, 2, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"05269061",1,"[7, 7]","[7, 7]","[0, 2, 3, 8]","[2, 3, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"05269061",2,"[7, 7]","[7, 7]","[0, 3, 4, 8]","[3, 4, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"05a7bcf2",0,"[30, 30]","[30, 30]","[0, 2, 4, 8]","[0, 2, 3, 4, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"05a7bcf2",1,"[30, 30]","[30, 30]","[0, 2, 4, 8]","[0, 2, 3, 4, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"05a7bcf2",2,"[30, 30]","[30, 30]","[0, 2, 4, 8]","[0, 2, 3, 4, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"05f2a901",0,"[9, 10]","[9, 10]","[0, 2, 8]","[0, 2, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"05f2a901",1,"[14, 9]","[14, 9]","[0, 2, 8]","[0, 2, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"05f2a901",2,"[11, 10]","[11, 10]","[0, 2, 8]","[0, 2, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0607ce86",0,"[21, 22]","[21, 22]","[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0607ce86",1,"[23, 22]","[23, 22]","[0, 3, 6, 8]","[0, 3, 6, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0607ce86",2,"[22, 22]","[22, 22]","[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0692e18c",0,"[3, 3]","[9, 9]","[0, 6]","[0, 6]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0692e18c",1,"[3, 3]","[9, 9]","[0, 7]","[0, 7]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0692e18c",2,"[3, 3]","[9, 9]","[0, 4]","[0, 4]",False,False,False,False,False,False,False,False,False,False,False,"",False,True,True,False,False
"06df4c85",0,"[23, 23]","[23, 23]","[0, 1, 2, 4, 8, 9]","[0, 1, 2, 4, 8, 9]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"06df4c85",1,"[20, 20]","[20, 20]","[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"06df4c85",2,"[23, 23]","[23, 23]","[0, 2, 3, 4]","[0, 2, 3, 4]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"070dd51e",0,"[20, 10]","[20, 10]","[0, 3, 4, 7, 8, 9]","[0, 3, 4, 7, 8, 9]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"070dd51e",1,"[30, 20]","[30, 20]","[0, 2, 3, 5, 6, 8]","[0, 2, 3, 5, 6, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"08ed6ac7",0,"[9, 9]","[9, 9]","[0, 5]","[0, 1, 2, 3, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"08ed6ac7",1,"[9, 9]","[9, 9]","[0, 5]","[0, 1, 2, 3, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"09629e4f",0,"[11, 11]","[11, 11]","[0, 2, 3, 4, 5, 6, 8]","[0, 2, 3, 4, 5, 6]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"09629e4f",1,"[11, 11]","[11, 11]","[0, 2, 3, 4, 5, 6, 8]","[0, 2, 3, 4, 5, 6]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"09629e4f",2,"[11, 11]","[11, 11]","[0, 2, 3, 4, 5, 6, 8]","[0, 2, 3, 4, 5, 6]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"09629e4f",3,"[11, 11]","[11, 11]","[0, 2, 3, 4, 5, 6, 8]","[0, 2, 3, 4, 5, 6]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0962bcdd",0,"[12, 12]","[12, 12]","[0, 6, 8]","[0, 6, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0962bcdd",1,"[12, 12]","[12, 12]","[0, 2, 7]","[0, 2, 7]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"09c534e7",0,"[20, 20]","[20, 20]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"09c534e7",1,"[30, 30]","[30, 30]","[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"09c534e7",2,"[18, 18]","[18, 18]","[0, 1, 3, 4, 6]","[0, 1, 3, 4, 6]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0a1d4ef5",0,"[30, 30]","[2, 3]","[0, 1, 2, 3, 4, 6, 8, 9]","[1, 3, 4, 6, 9]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0a1d4ef5",1,"[30, 30]","[3, 3]","[0, 1, 2, 3, 4, 5, 7, 8]","[1, 3, 4, 7, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0a1d4ef5",2,"[30, 30]","[3, 3]","[0, 1, 2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
