transformation,count
"""input_shape""",3232
"""repetition""",3232
"""pattern_uniform_blocks""",3232
"""pattern_vertical_stripes""",3232
"""pattern_horizontal_stripes""",3232
"""pattern_checkerboard""",3232
"""partial_symetry""",3232
"""tiled_subgrid""",3232
"""translation""",3232
"""padding""",3232
"""transpose""",3232
"""output_shape""",3232
"""flip_vertical""",3232
"""flip_horizontal""",3232
"""rotation_270""",3232
"""rotation_180""",3232
"""rotation_90""",3232
"""recoloration""",3232
"""output_colors""",3232
"""input_colors""",3232
"""shape_based_recoloration""",3232
